OCCP - 4 Digit Level,total_working_16
"Meat, Poultry and Seafood Process Workers",17782
"Packers and Product Assemblers, nfd",668
Packers,50855
Product Assemblers,22459
"Miscellaneous Factory Process Workers, nfd",1387
Metal Engineering Process Workers,7527
Plastics and Rubber Factory Workers,1801
Product Quality Controllers,9659
Timber and Wood Process Workers,5185
Other Factory Process Workers,9647
"Farm, Forestry and Garden Workers, nfd",4060
Aquaculture Workers,565
Crop Farm Workers,22355
Forestry and Logging Workers,2049
Garden and Nursery Labourers,24307
Livestock Farm Workers,26971
Mixed Crop and Livestock Farm Workers,3261
"Other Farm, Forestry and Garden Workers",9745
"Food Preparation Assistants, nfd",1216
Fast Food Cooks,35160
Food Trades Assistants,4135
Kitchenhands,109631
"Other Labourers, nfd",184
"Freight Handlers and Shelf Fillers, nfd",115
Freight and Furniture Handlers,11609
Shelf Fillers,50616
"Miscellaneous Labourers, nfd",285
Caretakers,6193
Deck and Fishing Hands,5791
Handypersons,30698
Motor Vehicle Parts and Accessories Fitters,10899
Printing Assistants and Table Workers,2986
Recycling and Rubbish Collectors,2194
Vending Machine Attendants,4984
Other Miscellaneous Labourers,52863
Total,10497665
